	(Intercept)	x.c.V8	x.c.V10	x.c.V11	x.c.V13	x.c.V5	x.c.V7	x.c.V12	x.c.V6	I(x.c.V8^2)	I(x.c.V10^2)	I(x.c.V11^2)	I(x.c.V13^2)	I(x.c.V5^2)	I(x.c.V7^2)	I(x.c.V12^2)	I(x.c.V6^2)	x.c.V8:x.c.V10	x.c.V8:x.c.V11	x.c.V8:x.c.V13	x.c.V8:x.c.V5	x.c.V8:x.c.V7	x.c.V8:x.c.V12	x.c.V8:x.c.V6	x.c.V10:x.c.V11	x.c.V10:x.c.V13	x.c.V10:x.c.V5	x.c.V10:x.c.V7	x.c.V10:x.c.V12	x.c.V10:x.c.V6	x.c.V11:x.c.V13	x.c.V11:x.c.V5	x.c.V11:x.c.V7	x.c.V11:x.c.V12	x.c.V11:x.c.V6	x.c.V13:x.c.V5	x.c.V13:x.c.V7	x.c.V13:x.c.V12	x.c.V13:x.c.V6	x.c.V5:x.c.V7	x.c.V5:x.c.V12	x.c.V5:x.c.V6	x.c.V7:x.c.V12	x.c.V7:x.c.V6	x.c.V12:x.c.V6
3	1	40	2693	-25	250	5710	28	47.66	4	1600	7252249	625	62500	32604100	784	22.714.756	16	107720	-1000	10000	228400	1120	1906.4	160	-67325	673250	15377030	75404	128348.38	10772	-6250	-142750	-700	-1191.5	-100	1427500	7000	11915	1000	159880	272138.6	22840	1334.48	112	190.64
4	1	45	590	-24	100	5700	37	55.04	3	2025	348100	576	10000	32490000	1369	30.294.016	9	26550	-1080	4500	256500	1665	2476.8	135	-14160	59000	3363000	21830	32473.6	1770	-2400	-136800	-888	-1320.96	-72	570000	3700	5504	300	210900	313728	17100	2036.48	111	165.12
5	1	54	1450	25	60	5760	51	57.02	3	2916	2102500	625	3600	33177600	2601	32.512.804	9	78300	1350	3240	311040	2754	3079.08	162	36250	87000	8352000	73950	82679	4350	1500	144000	1275	1425.5	75	345600	3060	3421.2	180	293760	328435.2	17280	2908.02	153	171.06
6	1	35	1568	15	60	5720	69	53.78	4	1225	2458624	225	3600	32718400	4761	28.922.884	16	54880	525	2100	200200	2415	1882.3	140	23520	94080	8968960	108192	84327.04	6272	900	85800	1035	806.7	60	343200	4140	3226.8	240	394680	307621.6	22880	3710.82	276	215.12
7	1	45	2631	-33	100	5790	19	54.14	6	2025	6922161	1089	10000	33524100	361	29.311.396	36	118395	-1485	4500	260550	855	2436.3	270	-86823	263100	15233490	49989	142442.34	15786	-3300	-191070	-627	-1786.62	-198	579000	1900	5414	600	110010	313470.6	34740	1028.66	114	324.84
8	1	55	554	-28	250	5790	25	64.76	3	3025	306916	784	62500	33524100	625	41.938.576	9	30470	-1540	13750	318450	1375	3561.8	165	-15512	138500	3207660	13850	35877.04	1662	-7000	-162120	-700	-1813.28	-84	1447500	6250	16190	750	144750	374960.4	17370	1619	75	194.28
9	1	41	2083	23	120	5700	73	52.52	3	1681	4338889	529	14400	32490000	5329	27.583.504	9	85403	943	4920	233700	2993	2153.32	123	47909	249960	11873100	152059	109399.16	6249	2760	131100	1679	1207.96	69	684000	8760	6302.4	360	416100	299364	17100	3833.96	219	157.56
10	1	44	2654	-2	120	5700	59	48.38	3	1936	7043716	4	14400	32490000	3481	23.406.244	9	116776	-88	5280	250800	2596	2128.72	132	-5308	318480	15127800	156586	128400.52	7962	-240	-11400	-118	-96.76	-6	684000	7080	5805.6	360	336300	275766	17100	2854.42	177	145.14
11	1	54	5000	-19	120	5770	27	48.56	8	2916	2.5e+07	361	14400	33292900	729	23.580.736	64	270000	-1026	6480	311580	1458	2622.24	432	-95000	6,00E+05	28850000	135000	242800	40000	-2280	-109630	-513	-922.64	-152	692400	3240	5827.2	960	155790	280191.2	46160	1311.12	216	388.48
12	1	51	111	9	150	5720	44	63.14	3	2601	12321	81	22500	32718400	1936	39.866.596	9	5661	459	7650	291720	2244	3220.14	153	999	16650	634920	4884	7008.54	333	1350	51480	396	568.26	27	858000	6600	9471	450	251680	361160.8	17160	2778.16	132	189.42
